Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.2,80,192.168.20.3,43518,6,2021-08-09 22:31:45,32569598.0,6,7,374,1846,74.0,60.0,62.333333333333336,5.21749194749951,412.0,66.0,263.7142857142857,171.22559411966617,68.16172554539973,0.3991452396802687,2714133.1666666665,3013230.996600488,8107837.0,16867.0,31901073.0,6380214.6,5361619.042618138,13250527.0,51505.0,32133466.0,5355577.666666667,4157029.0205476745,10637137.0,48788.0,0,0,0,0,120,140,0.1842208798524317,0.214924359827837,60,412,170.76923076923077,160.8659995850124,25877.869822485205,1,0,0,0,0,0,0,1.1666666666666667,170.76923076923077,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,5,20,3101013.5,1583339.5,4684353.0,1517674.0,4769954.666666667,1103314.9772790282,6051653.0,3358461.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43670,6,2021-08-09 22:31:42,35507461.0,8,6,578,807,74.0,60.0,72.25,4.630064794363034,461.0,66.0,134.5,146.05906339560033,39.00588667829558,0.3942833310441431,2731343.153846154,2674452.139014121,8035624.0,25829.0,33480991.0,4782998.714285715,2908703.4640363986,9073166.0,801450.0,28736502.0,5747300.4,3345917.0978866527,9039415.0,25829.0,0,0,0,0,160,120,0.2253047605966532,0.1689785704474899,60,461,98.92857142857143,100.51898490598983,10104.06632653061,1,0,0,0,0,0,0,0.75,98.92857142857143,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,1,20,6365154.5,666678.5,7031833.0,5698476.0,3221598.3333333335,1907267.8592696995,5867220.0,579604.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43688,6,2021-08-09 22:31:42,35485529.0,6,6,430,828,74.0,60.0,71.66666666666667,5.21749194749951,482.0,66.0,138.0,153.88307249337075,35.451070773103034,0.3381660169135424,3225957.1818181816,2374982.521951222,7650244.0,4551.0,33692055.0,6738411.0,3846566.5857502585,13734654.0,3224478.0,29022666.0,5804533.2,3193956.8809734047,9539004.0,4551.0,0,0,0,0,120,120,0.1690830084567712,0.1690830084567712,60,482,104.83333333333333,113.8140540042788,12953.63888888889,1,0,0,0,0,0,0,1.0,104.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,1,20,5405688.5,610049.5,6015738.0,4795639.0,2878531.4,1877916.3608070088,5169893.0,13907.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43696,6,2021-08-09 22:31:42,35202879.0,6,6,444,791,74.0,74.0,74.0,0.0,445.0,66.0,131.83333333333334,140.09808072283582,35.08235789464833,0.34088121031237245,3200261.727272727,2433318.936604754,7540285.0,32667.0,27994928.0,5598985.6,2571532.288152307,9636910.0,2941858.0,29113915.0,5822783.0,3211252.3942898666,9712098.0,32667.0,0,0,0,0,120,120,0.17044060515618623,0.17044060515618623,66,445,102.91666666666667,103.198399804562,10649.909722222223,1,0,0,0,0,0,0,1.0,102.91666666666667,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,0,20,5351036.0,354436.0,5705472.0,4996600.0,3222899.0,1656392.9841045572,4957315.0,205248.0,NeedManualLabel
192.168.20.3,43960,192.168.1.2,80,6,2021-08-09 22:31:42,36015679.0,7,5,843,370,415.0,66.0,120.42857142857143,120.30895601724413,74.0,74.0,74.0,0.0,33.67977596646172,0.3331882206080302,3274152.6363636362,3492140.4934721957,8927165.0,5988.0,36015679.0,6002613.166666667,3843091.845413118,9191536.0,5988.0,19965492.0,4991373.0,3527666.1137001757,9101335.0,1037338.0000000001,0,0,0,0,140,100,0.19435979535468428,0.1388284252533459,66,415,101.08333333333333,94.69552817084636,8967.243055555557,1,0,0,0,0,0,0,0.7142857142857143,101.08333333333333,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,20,3327005.0,1719866.0,5046871.0,1607139.0,3829058.0,2744428.5756121436,7013343.0,876484.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43654,6,2021-08-09 22:31:41,37410182.0,7,6,504,990,74.0,60.0,72.0,4.898979485566356,355.0,66.0,165.0,134.38997978520075,39.93565174315378,0.34749897768473836,3117515.1666666665,1943165.4367962272,6149827.0,15030.0,32271128.0,5378521.333333333,2748607.293416108,11051279.0,2956744.0,30747791.0,6149558.2,4224393.3917801455,11896051.0,15030.0,0,0,0,0,140,120,0.18711483413793603,0.1603841435468023,60,355,114.92307692307692,102.46009469992285,10498.071005917158,1,0,0,0,0,0,0,0.8571428571428571,114.92307692307692,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,1,20,2596820.6666666665,1822858.6404619773,4461076.0,122735.0,2154919.3333333335,1241910.2446388341,3392563.0,199210.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43522,6,2021-08-09 22:31:45,34228399.0,4,7,254,1678,74.0,60.0,63.5,6.06217782649107,370.0,66.0,239.71428571428572,150.44098442883964,56.44435779774566,0.32137056717142976,3422839.9,3006821.10219316,10461809.0,183623.0,19822842.0,6607614.0,4973509.324393458,12300123.0,183623.0,33327856.0,5554642.666666667,3632566.0878149974,10461809.0,326989.0,0,0,0,0,80,140,0.11686202442597446,0.2045085427454553,60,370,175.63636363636363,146.9738831018953,21601.322314049587,1,0,0,0,0,0,0,1.75,175.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,3,20,2900540.5,314178.5,3214719.0,2586362.0,3252578.0,3076817.1205113246,7746157.0,110709.0,NeedManualLabel
192.168.1.2,80,192.168.20.3,43524,6,2021-08-09 22:31:45,34144364.0,5,6,314,1296,74.0,60.0,62.8,5.6,366.0,66.0,216.0,150.0,47.15273068199483,0.3221615139763622,3414436.4,2657089.162152004,8938261.0,24021.0,23267507.0,5816876.75,4616847.804316348,12402828.0,24021.0,33298011.0,6659602.2,3829119.252585555,9963247.0,302088.0,0,0,0,0,100,120,0.14643705180743738,0.17572446216892484,60,366,146.36363636363637,134.55872170460322,18106.04958677686,1,0,0,0,0,0,0,1.2,146.36363636363637,0.0,0.0,0.0,0.0,0.0,0.0,65160,502,4,20,2615403.0,7179.0,2622582.0,2608224.0,3542266.75,3105371.52712734,6999665.0,385029.0,NeedManualLabel
192.168.20.3,44096,192.168.1.2,80,6,2021-08-09 22:31:44,35038912.0,6,5,793,370,431.0,66.0,132.16666666666666,133.67425165511702,74.0,74.0,74.0,0.0,33.19166987833412,0.3139366884451206,3503891.2,3879716.371618982,11963255.0,17866.0,35038912.0,7007782.4,4037687.6995801744,12186062.0,17866.0,17317684.0,4329421.0,4154491.1672975067,11407892.0,1089460.0,0,0,0,0,120,100,0.17123819369733853,0.1426984947477821,66,431,105.72727272727273,102.88571851515722,10585.471074380164,1,0,0,0,0,0,0,0.8333333333333334,105.72727272727273,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,20,5646301.0,2177356.0,7823657.0,3468945.0,4651171.4,3242980.648496232,9044456.0,589266.0,NeedManualLabel
192.168.20.3,44098,192.168.1.2,80,6,2021-08-09 22:31:44,35043390.0,6,4,807,296,445.0,66.0,134.5,138.89054443457744,74.0,74.0,74.0,0.0,31.47526537814977,0.28536052020081387,3893710.0,3987112.5003118627,12218161.0,21782.0,35043390.0,7008678.0,4045152.034974359,12218161.0,21782.0,14120216.0,4706738.666666667,4712838.404596557,11364494.0,1109553.0,0,0,0,0,120,80,0.17121631212048832,0.11414420808032555,66,445,110.3,111.59215922276977,12452.81,1,0,0,0,0,0,0,0.6666666666666666,110.3,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,20,5659864.5,2151076.5,7810941.0,3508788.0,4707578.0,3316964.87433509,9284082.0,536616.0,NeedManualLabel
